[1393 1928]
[2974 3531]
[3602 3843]
[3894 3991]
[4337 5429]
[8236 8354]
[9852 9894]
[9930 9989]
[10282 11009]
[11089 11192]
[11882 12110]
[14480 14753]
[14817 15027]
[15816 15916]
[16085 16119]
[16121 16236]
[16472 16802]
[16910 16954]
[17000 17204]
[18562 19354]
[19391 19547]
[19549 19918]
[20027 20082]
[20678 20911]
[23303 23522]
[23720 24224]
[24371 24466]
[27273 27411]
[27674 27794] 
[27932 28374]
[28774 28809]
[28982 29508]
[29937 30045]
[30123 30178]
[30415 30622]
[30885 31004]
[31410 31638]
[33957 34114]
[35384 35544]
[36178 36238]
[36366 36670]
[36849 37130]
[38891 38947]
[39505 39766]
[40328 40416]
[40505 40626]
[41369 42028]
[43087 43265]
[43355 43914]
[44366 44442]
[45701 46094]
[46241 46833]
[47076 47194]
[47248 47321]
[47731 47982]
[49646 49723]
[49902 50110]
[53172 53544]
[53921 53995]
[55010 55689]
[55998 56110]
[57187 57422]
[57603 57735]
[58230 58277]
[58452 58692]
[58827 58946]
[59033 59080]
[59295 59338]
[59502 59559]
[59656 59826]
[60080 60223]
[60345 60374]
[60461 60795]
[61438 61722]
[61923 61962]
[62254 62317]
[62429 62676]
[62725 62774]
[62825 62889]
[63041 63178]
[64443 64634]

