[3377 3413]
[3572 3779]
[4253 4357]
[8566 8633]
[9128 9221]
[9418 9601]
[9860 10453]
[11221 11430]
[11488 11575]
[11835 11914]
[12736 12881]
[13555 14405]
[14656 15092]
[21173 21225]
[21366 21770]
[21883 22196]
[22840 22945]
[23583 23665]
[23792 23837]
[24708 24900]
[28257 28297]
[31892 32251]
[36339 36488]
[37772 37957]
[38236 38293]
[39146 39179]
[39394 39442]
[39574 39737]
[40148 40285]
[44708 44944]
[47638 48127]
[49196 49269]
[50738 50845]
[51187 52593]
[54189 54727]
[55728 55853]
[57746 58257]
[59810 59873]
[59996 60188]
[60538 60599]
[61271 61707]
[61942 62233]
[64436 64892]
[65072 65163]
[66432 66551]
