[3097 3278]
[4389 4616]
[5244 5542]
[13962 15611]
[17446 18108]
[18783 18939]
[20959 21109]
[21533 21732]
[21881 22042]
[22293 22521]
[23245 23500]
[25477 25745]
[27472 27586]
[27636 28217]
[29772 30507]
[30577 30726]
[31670 32073]
[32115 32202]
[32476 33393]
[38064 38114]
[39315 40852]
[41213 41825]
[47391 47633]
[49215 50230]
[53612 54303]
[56910 57142]
[57647 57705]
[58137 58247]
[59312 59991]
[60508 60937]
[62911 63216]
[63616 63646]
[63684 63764]
[63983 64059]
[64282 64374]
